word,sentence
silence,Please keep silence during the movie.
speaker,The speaker at the assembly told us a great story.
station,We waited at the station for the train to arrive.
storage,We need storage for all our toys in the playroom.
stretch,I like to stretch my arms before playing sports.
subject,Math is my favorite subject in school.
success,Hard work leads to success in everything we do.
support,My friends are always there to support me.
surface,The surface of the water was calm and clear.
teacher,My teacher is very nice and helps me learn a lot.
thought,I had a thought about what we could do for fun today.
traffic,The traffic was heavy on the way to the beach.
trouble,"If you get into trouble, you should ask for help."
vehicle,The vehicle drove slowly down the street.
victory,We celebrated our victory after winning the game!
village,The village had a big festival every year.
visitor,We had a special visitor come to our class today.
warning,I heard a warning about the storm on the radio.
willing,I am willing to help my friend with her homework.
witness,I was a witness to the fun birthday party.
without,I cannot live without my favorite stuffed animal.
writing,Writing in my journal makes me feel happy.
