word,sentence
major,This is a major event for our school this year.
march,We will march in the parade with our classmates.
match,I need a match to light the birthday candles.
maybe,Maybe we can go to the park after school.
money,I saved my money to buy a new toy.
motor,The motor helps the toy car move forward.
music,I love to listen to music while I draw.
never,I will never forget my best friend.
night,The night sky is beautiful with so many stars.
noise,The noise from the party made me smile.
north,The north wind blew cold air through the trees.
offer,I want to offer my help with the project.
open,Please open your books to page ten.
page,Turn to the next page to see what happens next.
paint,I want to paint a picture of a rainbow.
park,We can play in the park after school is over.
party,I am excited for the birthday party this weekend.
phone,Please answer the phone when it rings.
piece,Can I have a piece of cake for my birthday?
place,I want to go to a special place to eat ice cream.
plant,We will plant flowers in the garden this spring.
power,The power went out during the storm last night.
price,What is the price of the toy in the store?
proud,I am proud of my sister for winning the race.
raise,We can raise money for charity by having a bake sale.
range,The mountain range looks beautiful in the sunset.
reach,I can reach the top shelf if I use a chair.
ready,Are you ready to go to the movie theater?
relax,It’s nice to relax after a long day at school.
right,You are right; that answer is correct!
river,We like to go fishing by the river on weekends.
room,There is a big room for playing games at the party.
score,I got a high score on my spelling test!
sense,It makes sense to study for the test together.
sharp,Be careful with that sharp pencil when you draw.
sheet,Please put a clean sheet on my bed.
short,That story was too short; I want to hear more!
shout,Please don’t shout in the library; it’s too loud!
skill,She has a skill for drawing beautiful pictures.
small,I have a small puppy that loves to play.
smart,You are smart for figuring out the puzzle so fast!
smile,I love to see you smile when you’re happy.
snow,The snow is falling gently on the ground.
sound,I hear a sound coming from the kitchen.
space,There is enough space for everyone at the picnic.
speak,I can speak two languages: English and Spanish.
spend,I like to spend time with my family on weekends.
sport,My favorite sport is soccer because it’s fun to play.
stand,Please stand up when the teacher enters the room.
start,Let’s start the game before it gets too late.
state,I live in the state of California with my family.
stone,I found a smooth stone on the beach.
store,We can buy snacks at the store before the movie.
storm,The storm outside is making the trees sway.
study,I need to study for my math test this week.
stuff,I put my stuff in my backpack before leaving.
table,Please set the table for dinner.
taste,The cake will taste delicious after it’s baked.
teach,I want to teach my little brother how to ride a bike.
test,"I have a math test on Friday, so I need to study."
throw,"Can you throw the ball to me, please?"
tight,My shoes feel tight; I need to loosen them.
time,What time does the movie start this evening?
tired,I feel tired after playing outside all day.
title,What is the title of your favorite book?
trade,Let’s trade stickers; I want to collect more!
train,I see a train coming down the tracks.
trust,I trust my friends to keep my secret safe.
value,I value our friendship and love spending time together.
voice,I heard your voice from across the room.
waste,Don’t waste your food; always finish what’s on your plate.
watch,Can we watch a movie together this weekend?
wave,I will wave goodbye to you when you leave.
whole,I want to eat a whole pizza by myself!
write,Please write your name at the top of your paper.
wrong,It’s okay to make mistakes; just learn from what went wrong.
